1	64919	65919	OR4F5
1	450203	451203	OR4F29
1	685179	686179	OR4F16
1	923428	924428	SAMD11
1	943703	944703	NOC2L
1	960084	961084	KLHL17
1	965982	966982	PLEKHN1
1	974704	975704	PERM1
1	998462	999462	HES4
1	1000638	1001638	ISG15
1	1019620	1020620	AGRN
1	1070467	1071467	RNF223
1	1081318	1082318	C1orf159
1	1173380	1174380	TTLL10
1	1203008	1204008	TNFRSF18
1	1210840	1211840	TNFRSF4
1	1216409	1217409	SDF4
1	1231737	1232737	B3GALT6
1	1241946	1242946	C1QTNF12
1	1253409	1254409	UBE2J2
1	1279936	1280936	SCNN1D
1	1291890	1292890	ACAP3
1	1308097	1309097	PUSL1
1	1311085	1312085	INTS11
1	1324256	1325256	CPTP
1	1330780	1331780	TAS1R3
1	1334776	1335776	DVL1
1	1352189	1353189	MXRA8
1	1373230	1374230	AURKAIP1
1	1385211	1386211	CCNL2
1	1401409	1402409	MRPL20
1	1417920	1418920	ANKRD65
1	1425628	1426628	TMEM88B
1	1434361	1435361	VWA1
1	1449189	1450189	ATAD3C
1	1471265	1472265	ATAD3B
1	1511662	1512662	ATAD3A
1	1534278	1535278	TMEM240
1	1541173	1542173	SSU72
1	1597512	1598512	FNDC10
1	1614915	1615915	MIB2
1	1631663	1632663	MMP23B
1	1634725	1635725	CDK11B
1	1659029	1660029	SLC35E2B
1	1701879	1702879	CDK11A
1	1750732	1751732	NADK
1	1784785	1785785	GNB1
1	1914608	1915608	CALML6
1	1917090	1918090	TMEM52
1	1921451	1922451	CFAP74
1	2018829	2019829	GABRD
1	2049911	2050911	PRKCZ
1	2183961	2184961	FAAP20
1	2227819	2228819	SKI
1	2320753	2321753	MORN1
1	2391275	2392275	RER1
1	2403464	2404464	PEX10
1	2425480	2426480	PLCH2
1	2508037	2509037	PANK4
1	2528245	2529245	HES5
1	2555139	2556139	TNFRSF14
1	2585991	2586991	PRXL2B
1	2590139	2591139	MMEL1
1	2635476	2636476	TTC34
1	3020967	3021967	ACTRT2
1	3068668	3069668	PRDM16
1	3454165	3455165	ARHGEF16
1	3487451	3488451	MEGF6
1	3624515	3625515	TPRG1L
1	3630267	3631267	WRAP73
1	3652016	3653016	TP73
1	3745960	3746960	CCDC27
1	3772249	3773249	SMIM1
1	3778059	3779059	LRRC47
1	3811586	3812586	CEP104
1	3856767	3857767	DFFB
1	3888625	3889625	C1orf174
1	4654109	4655109	AJAP1
1	5862311	5863311	NPHP4
1	5990427	5991427	KCNAB2
1	6101287	6102287	CHD5
1	6158930	6159930	AL031847.1
1	6184520	6185520	RPL22
1	6204975	6205975	RNF207
1	6220693	6221693	ICMT
1	6243679	6244679	HES3
1	6246853	6247853	GPR153
1	6263769	6264769	ACOT7
1	6411918	6412918	HES2
1	6424276	6425276	ESPN
1	6460286	6461286	TNFRSF25
1	6466622	6467622	PLEKHG5
1	6520847	6521847	NOL9
1	6554807	6555807	TAS1R1
1	6579494	6580494	ZBTB48
1	6590224	6591224	KLHL21
1	6613231	6614231	PHF13
1	6624366	6625366	THAP3
1	6633668	6634668	DNAJC11
1	6784954	6785954	CAMTA1
1	7770796	7771796	VAMP3
1	7783820	7784820	PER3
1	7842583	7843583	UTS2
1	7915371	7916371	TNFRSF9
1	7953791	7954791	PARK7
1	8003904	8004904	ERRFI1
1	8317614	8318614	SLC45A1
1	8351897	8352897	RERE
1	8860500	8861500	ENO1
1	8945367	8946367	CA6
1	9002800	9003800	SLC2A7
1	9034606	9035606	SLC2A5
1	9099805	9100805	GPR157
1	9234274	9235274	H6PD
1	9292394	9293394	SPSB1
1	9538965	9539965	SLC25A33
1	9588411	9589411	TMEM201
1	9651231	9652231	PIK3CD
1	9728426	9729426	CLSTN1
1	9847776	9848776	CTNNBIP1
1	9921613	9922613	LZIC
1	9942928	9943928	NMNAT1
1	9996706	9997706	RBP7
1	10032332	10033332	UBE4B
1	10210070	10211070	KIF1B
1	10398092	10399092	PGD
1	10429602	10430602	CENPS-CORT
1	10429933	10430933	CENPS
1	10449531	10450531	CORT
1	10456022	10457022	DFFA
1	10471788	10472788	PEX14
1	10636104	10637104	CASZ1
1	10945971	10946971	C1orf127
1	11011844	11012844	TARDBP
1	11012162	11013162	AL109811.3
1	11026023	11027023	MASP2
1	11054084	11055084	SRM
1	11066118	11067118	EXOSC10
1	11106035	11107035	MTOR
1	11188855	11189855	ANGPTL7
1	11272698	11273698	UBIAD1
1	11478655	11479655	DISP3
1	11636518	11637518	FBXO2
1	11653875	11654875	FBXO44
1	11663700	11664700	FBXO6
1	11673980	11674980	MAD2L2
1	11691210	11692210	DRAXIN
1	11735584	11736584	AGTRAP
1	11761287	11762287	C1orf167
1	11785223	11786223	MTHFR
1	11805596	11806596	CLCN6
1	11845209	11846209	NPPA
1	11856964	11857964	NPPB
1	11919091	11920091	KIAA2013
1	11933705	11934705	PLOD1
1	11979681	11980681	MFN2
1	12018966	12019966	MIIP
1	12062803	12063803	TNFRSF8
