oeID	baitID	naive	day1	day3	day5	day7	day10	day14	primed	DE	NE	merged_dtw_trans_cl6_2with6	TSSchr	TSSstart	TSSend	TSSstrand	gene_name	gene_id	chr	start	end
179	161	2.4377747205079	1.3074120185278	1.39385408457282	0.99556375233528	1.00062793657652	0.648581515597455	1.68571217148292	0.882273141845749	0	2.4903750726319	Constant	1	943703	944703	-	NOC2L	ENSG00000188976	1	943584	948837
257	185	0	2.37169327450041	1.06102926081412	1.00797125318404	0	0	1.11348709058831	0	1.9677757148676	1.2299426666451	Transient	1	1173380	1174380	+	TTLL10	ENSG00000162571	1	1171300	1177374
269	198	1.90601767774601	2.35033353222675	0	0	0	0	0	0	0	0	Lost	1	1210840	1211840	-	TNFRSF4	ENSG00000186827	1	1207290	1214624
288	203	1.96533248191051	0	2.59688266680984	0	0	0	0	0	0	1.91100001316003	Transient	1	1279936	1280936	+	SCNN1D	ENSG00000162572	1	1275360	1280414
517	759	0	0	0	2.34978817723308	0	0	0	0	0	0	Transient	1	2425480	2426480	+	PLCH2	ENSG00000149527	1	2422472	2427711
728	759	2.8785633768974	2.39200000217514	1.64852940339735	1.80512028516898	1.37710770495012	2.12534919887965	0.617738500331983	1.81603795020966	1.38412281331403	1.89297841943845	Constant	1	3487451	3488451	-	MEGF6	ENSG00000162591	1	3486507	3492562
1233	1275	0	0	1.04994851985768	2.40947437825463	1.06569019277957	1.73270072158764	0	0	1.12473217407609	0	Transient	1	5862311	5863311	-	NPHP4	ENSG00000131697	1	5858573	5863979
1318	1276	0	2.82659802482602	0.78274563737192	0	0.88987733970835	1.97847745912972	0	2.24875162888096	0	1.75565079724145	Transient	1	6184520	6185520	-	RPL22	ENSG00000116251	1	6182284	6187390
1355	1314	0.685365930487943	2.08386329174103	0.723596032266483	2.10634854034568	0.67628409694618	0	2.40300551300497	0.69621835318785	1.4712796283036	1.27849908074846	Gained late	1	6263769	6264769	-	ACOT7	ENSG00000097021	1	6263516	6268697
1355	1380	1.56118269152543	0	0.941813664922565	0.945418181139737	2.36955755021503	0	0	1.00546496897277	0	0	Lost	1	6263769	6264769	-	ACOT7	ENSG00000097021	1	6263516	6268697
